"","timestamp","group","disengaged","looking","talking","intTech","intRes","intExt","Accessed","Create","Open","Update"
"1","2017-11-08 11:07:48","1ABCD",0,0,0,1,0,0.5,0,0,0,0
"2","2017-11-08 11:14:20","1ABCD",0,0.25,0,1,1,0,33,7,15,12
"3","2017-11-08 11:20:44","1ABCD",0,0,1,1,1,0.75,5,0,0,17
"4","2017-11-08 11:25:22","1ABCD",0,0,1,1,0.25,0.75,8,0,3,3
"5","2017-11-08 11:30:12","1ABCD",0,0,1,1,0.5,0.5,12,2,3,1
"6","2017-11-08 11:35:11","1ABCD",0,0,1,1,1,0.5,19,2,5,0
"7","2017-11-08 11:40:09","1ABCD",0,0,1,1,1,0.25,17,0,14,13
"8","2017-11-08 11:45:31","1ABCD",0,0,1,1,1,1,8,0,0,10
"9","2017-11-08 11:50:27","1ABCD",0,0,1,1,1,1,8,0,0,0
"10","2017-11-08 11:55:16","1ABCD",0,0,1,0.75,1,1,8,0,0,0
"11","2017-11-08 12:50:08","2ABCD",0,0.25,1,0.75,1,0.5,0,0,0,0
"12","2017-11-08 13:05:12","2ABCD",0,0,1,1,0,1,15,7,35,37
"13","2017-11-08 13:10:20","2ABCD",0,0,1,1,1,1,0,0,6,22
"14","2017-11-08 13:15:22","2ABCD",0,0,1,1,0.5,0.75,11,0,9,18
"15","2017-11-08 13:20:22","2ABCD",0,0,1,1,0.5,1,7,1,0,0
"16","2017-11-08 13:25:49","2ABCD",0,0,1,1,1,1,2,0,0,0
"17","2017-11-08 13:30:14","2ABCD",0,0,1,1,1,0.75,11,0,1,0
"18","2017-11-08 13:35:10","2ABCD",0,0,1,1,1,0.75,13,0,0,0
"19","2017-11-08 13:40:10","2ABCD",0,0,1,1,0,0.75,28,2,1,0
"20","2017-11-08 13:45:05","2ABCD",0,0,1,1,0,1,2,0,0,0
"21","2017-11-08 11:58:53","3ABCDE",0,0,1,1,0.6,0.2,0,0,0,0
"22","2017-11-08 12:15:10","3ABCDE",0,0,1,1,0,0,41,8,10,12
"23","2017-11-08 12:20:03","3ABCDE",0,0,1,1,0.8,0.2,4,0,1,13
"24","2017-11-08 12:25:02","3ABCDE",0,0,1,1,0.4,0,10,0,3,6
"25","2017-11-08 12:30:01","3ABCDE",0,0,1,0.4,1,0.2,11,1,0,0
"26","2017-11-08 12:35:06","3ABCDE",0,0.2,1,1,0.4,0.2,17,0,4,1
"27","2017-11-08 12:39:48","3ABCDE",0,0.4,1,0.8,0.6,0.2,17,0,0,0
"28","2017-11-08 12:44:18","3ABCDE",0,0,1,1,0.4,0.2,13,0,0,0
"29","2017-11-08 12:45:57","3ABCDE",0,0.2,1,0.4,0.4,0,10,0,0,0
"30","2017-11-08 12:49:32","3ABCDE",0,0.2,1,0.6,1,0,4,0,0,0
"31","2017-11-08 12:54:52","3ABCDE",0,0,1,0.8,0.8,0.4,2,0,0,0
"32","2017-11-08 12:58:17","3ABCDE",0,0,1,0.8,0.4,0,11,0,0,0
"33","2017-11-08 10:18:09","4ABCDE",0,0,0,1,0,0,32,2,1,0
"34","2017-11-08 10:24:30","4ABCDE",0,0,1,0,0,0.2,20,8,14,11
"35","2017-11-08 10:39:34","4ABCDE",0,0,0,1,0,0,0,0,4,18
"36","2017-11-08 10:45:15","4ABCDE",0,0,0,0.6,0.4,0,8,0,1,2
"37","2017-11-08 10:51:05","4ABCDE",0,0,0,1,0,0,3,2,0,0
"38","2017-11-08 10:55:05","4ABCDE",0,0,1,1,1,0,0,1,0,0
"39","2017-11-08 10:57:15","4ABCDE",0,0,0.4,1,0,0.2,3,0,0,0
"40","2017-11-08 10:59:23","4ABCDE",0,1,0.4,1,0,0,6,0,0,0
"41","2017-11-08 11:07:50","4ABCDE",0,0,0,1,0,0,1,0,0,0
